Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Barbeque Holic,4.4,10.0,"Chinese, Salad, Fast Food","3rd Floor, Sahiti Sudha Square, Gachibowli Miyapur Road, Hanuman Nagar, Shilpa Hills, Kondapur, Hyderabad",Hyderabad,/hyderabad/barbeque-holic-kondapur/info,https://b.zmtcdn.com/data/pictures/8/20357948/1cdf7366c7878b6e3d81e9b0871a93c8_featured_v2.jpg
Ukusa,4.2,3952.0,"Cafe, Coffee, South Indian","Plot 130, 8/2/293/82, A/130, Road 10, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/ukusa-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/1/20722781/1b21fae8a278ce93e88d6b537383e045_featured_v2.jpg
The Fisherman's Wharf,4.5,11.0,"Chinese, Salad, Fast Food","Plot 4, 66, SY 235/Part, Vattinagulapally, Financial District, Hyderabad",Hyderabad,/hyderabad/the-fishermans-wharf-financial-district/info,https://b.zmtcdn.com/data/pictures/6/18443506/e2d4e510d8d5342c9147ce0e9088c549_featured_v2.jpg
Saffron Soul - Marigold Hotel,4.3,1166.0,"North Indian, Continental, Italian","Green Lands, Begumpet, Hyderabad",Hyderabad,/hyderabad/saffron-soul-marigold-hotel-begumpet/info,https://b.zmtcdn.com/data/pictures/chains/6/92586/39d90a60e3d85842b2b1d25cfc0176b9_featured_v2.jpg
Gamyam Telugu Kitchen,4.1,1106.0,"South Indian, Hyderabadi, Biryani","8-2-293/82/A/1067/A, Road 45, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/gamyam-telugu-kitchen-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/9/22145009/94f5ad250da2ee4bd9c1ca9d74ca73f3_o2_featured_v2.jpg
Dune Bar & Kitchen,4.4,1127.0,"Bar Food, North Indian, South Indian","5Th Floor, 82A, Apurupa Towers, Jawahar Colony, Road 36, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/dune-bar-kitchen-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/chains/6/22179326/8cdbaf4aa2ae34e124b928bb14ccc35e_featured_v2.jpg
Telusa Telugu Kitchen and Bar,4.2,6507.0,"South Indian, North Indian, Chinese","1st Floor, One Golden Mile, Golden Mile Road, Kokapet, Hyderabad",Hyderabad,/hyderabad/telusa-telugu-kitchen-and-bar-1-kokapet/info,https://b.zmtcdn.com/data/pictures/8/21645768/84650006db7e4a8f9bba926406c6759e_featured_v2.jpg
Verandah By TSK,4.4,965.0,"Bar Food, South Indian, Kebab","5th Floor, CVK Park Square, Kalasiguda, S D Road, Secunderabad",Hyderabad,/hyderabad/verandah-by-tsk-sd-road-secunderabad/info,https://b.zmtcdn.com/data/pictures/0/20901980/0c03bacf03e916fcce5f3a48c57ead13_o2_featured_v2.jpg
Tanah Kitchen & Bar,4.5,550.0,"Continental, South Indian, North Indian","5th Floor, P Janardhan Reddy Nagar, Near Aig Hospital, Meenakshi Bamboos Road, Gachibowli, Hyderabad",Hyderabad,/hyderabad/tanah-kitchen-bar-gachibowli/info,https://b.zmtcdn.com/data/pictures/2/22678742/3883a025642e92f2aafc2543e0d76521_o2_featured_v2.jpg
Habibo,4.2,2443.0,"North Indian, Arabic, Mughlai","7-1-208/2, Survey 157, 2nd Floor, AAA Satyam Mall, Ameerpet, Hyderabad",Hyderabad,/hyderabad/habibo-ameerpet/info,https://b.zmtcdn.com/data/pictures/5/20927925/43fa8f20882ed798921961a3034d75e2_featured_v2.jpg
AnTeRa Courtyard,4.3,15.0,"South Indian, Kebab, Biryani","Sy 251/8, E/1, Vattinagulapally, Antera Courtyard Road, Financial District, Hyderabad",Hyderabad,/hyderabad/antera-courtyard-financial-district/info,https://b.zmtcdn.com/data/pictures/4/21084944/ed6b89f76a16b297852ad0bef6fc1a27_featured_v2.jpg
The Joint Al- Mandi,4.3,633.0,"Mandi, Chinese","3rd Floor, Patel Towers, Near Sai Nagar Colony Road, Adarsh Nagar Colony, Nagole, Hyderabad",Hyderabad,/hyderabad/the-joint-al-mandi-nagole/info,https://b.zmtcdn.com/data/pictures/8/22542458/ecc74aa8d296c410f3977397fe8d27b4_o2_featured_v2.jpg
Air Live,4.3,2958.0,"North Indian, Salad, Fast Food","Sarath City Capital Mall, Miyapur Road, Gachibowli, Hyderabad",Hyderabad,/hyderabad/air-live-gachibowli/info,https://b.zmtcdn.com/data/pictures/1/20259091/a5f7c6a9fe89aebb5a330461ece401c3_featured_v2.jpg
Arabian Affairs,4.3,1073.0,"North Indian, Lebanese, Kebab","231/C, Plot 9/1, Women's Welfare Society, Metro Station, Road 5, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/arabian-affairs-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/9/21964229/cda05c3b02d00e4b9f8299089d71546f_o2_featured_v2.jpg
7 Sisters,4.2,3345.0,Asian,"2-61, 2nd Floor, Prism Mall, Gachibowli, Hyderabad",Hyderabad,/hyderabad/7-sisters-gachibowli/info,https://b.zmtcdn.com/data/pictures/2/22266822/6ecf5500e5cb43fb269bb2c33971da9a_featured_v2.jpg
Vasaara South Indian Kitchen,4.0,259.0,"South Indian, Biryani, Hyderabadi","8-2-293/82/F/73-A, Plot No 73, Shaikpet, Circle No 18, Film Nagar, Hyderabad",Hyderabad,/hyderabad/vasaara-south-indian-kitchen-film-nagar/info,https://b.zmtcdn.com/data/pictures/9/22437979/e84591b877793718efb132ca9fa67822_o2_featured_v2.jpg
Akan,4.2,2648.0,"North Indian, Mexican, Afghan","Plot 28, Survey 62, Shaikpet, Opposite Durgam Cheruvu, Doctor's Colony, Madhapur, Hyderabad",Hyderabad,/hyderabad/akan-hitech-city/info,https://b.zmtcdn.com/data/pictures/3/21048793/22e7058c1b301b852bde97b313818d62_featured_v2.jpg
Kavyam The Telugu Table,4.3,1709.0,"South Indian, North Indian, Biryani","Plot 1274, Road 64, Tree inn, Jubilee Hills Check Post Road, Adjacent Lane To Mahindra Show Room, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/kavyam-the-telugu-table-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/5/20961945/282e6d7cd113d90e6f1dadeb35cd3001_featured_v2.jpg
